Date,Open,High,Low,Close,Volume,N. Trades
2020-05-09 00:00:00,9800.02000000,9886.33000000,9728.46000000,9868.79000000,52641225.73544505,44090
2020-05-09 01:00:00,9869.58000000,9914.25000000,9842.92000000,9853.06000000,23248394.12213357,29423
2020-05-09 02:00:00,9853.06000000,9874.29000000,9825.53000000,9849.33000000,18598822.05345564,22503
2020-05-09 03:00:00,9849.33000000,9890.00000000,9849.33000000,9863.02000000,13839134.68639624,18154
2020-05-09 04:00:00,9863.02000000,9878.99000000,9780.05000000,9830.23000000,32387024.38137504,38730
2020-05-09 05:00:00,9830.22000000,9840.16000000,9752.00000000,9830.02000000,26934007.84150710,28783
2020-05-09 06:00:00,9830.07000000,9835.77000000,9600.00000000,9697.55000000,68163906.36837651,54112
2020-05-09 07:00:00,9697.55000000,9741.13000000,9561.00000000,9592.77000000,72626928.55920089,68574
2020-05-09 08:00:00,9594.70000000,9699.00000000,9590.70000000,9677.25000000,39926482.33244829,42262
2020-05-09 09:00:00,9677.76000000,9718.97000000,9645.08000000,9693.25000000,34619469.40959071,33898
2020-05-09 10:00:00,9693.26000000,9694.70000000,9560.00000000,9628.98000000,39758862.20163878,39454
2020-05-09 11:00:00,9628.98000000,9659.51000000,9520.00000000,9638.85000000,48577187.29441948,48204
2020-05-09 12:00:00,9638.85000000,9693.74000000,9600.60000000,9670.57000000,28587712.80298060,35743
2020-05-09 13:00:00,9670.92000000,9718.00000000,9618.79000000,9717.99000000,22717532.47638703,29519
2020-05-09 14:00:00,9717.99000000,9719.22000000,9665.00000000,9698.04000000,23716495.39302933,30007
2020-05-09 15:00:00,9699.23000000,9700.00000000,9627.03000000,9688.62000000,26525110.16302323,28111
2020-05-09 16:00:00,9688.55000000,9777.48000000,9672.00000000,9758.84000000,37616417.05150400,41369
2020-05-09 17:00:00,9759.00000000,9795.00000000,9728.00000000,9774.95000000,17572434.38857588,23238
2020-05-09 18:00:00,9774.98000000,9786.35000000,9721.00000000,9738.78000000,18583125.50739436,23704
2020-05-09 19:00:00,9738.78000000,9771.50000000,9730.00000000,9744.77000000,13360007.82595822,19383
2020-05-09 20:00:00,9745.11000000,9773.09000000,9600.00000000,9655.28000000,35914623.14576076,35720
2020-05-09 21:00:00,9655.32000000,9666.58000000,9577.85000000,9613.13000000,30000549.90059807,37439
2020-05-09 22:00:00,9611.68000000,9677.99000000,9563.00000000,9600.51000000,27267169.23961491,30887
2020-05-09 23:00:00,9600.51000000,9634.45000000,9525.00000000,9539.40000000,41818728.79888860,36077
2020-05-10 00:00:00,9539.10000000,9574.83000000,8117.00000000,8703.67000000,413986385.96479720,327193
2020-05-10 01:00:00,8703.56000000,8775.00000000,8575.66000000,8712.01000000,112138829.58612138,116894
2020-05-10 02:00:00,8712.00000000,8717.75000000,8635.82000000,8661.49000000,42574678.62455894,49733
2020-05-10 03:00:00,8661.86000000,8673.00000000,8316.00000000,8622.78000000,89739263.32804871,80889
2020-05-10 04:00:00,8622.73000000,8624.96000000,8470.30000000,8559.10000000,58700732.83822112,61153
2020-05-10 05:00:00,8561.23000000,8657.32000000,8550.21000000,8621.06000000,37442961.18300742,44966
2020-05-10 06:00:00,8621.15000000,8631.54000000,8554.67000000,8602.63000000,27609976.48290155,33973
2020-05-10 07:00:00,8602.44000000,8835.00000000,8600.00000000,8812.28000000,62975039.11963833,63593
2020-05-10 08:00:00,8812.27000000,8900.00000000,8773.40000000,8811.66000000,66546530.09293697,60915
2020-05-10 09:00:00,8812.72000000,8850.00000000,8735.94000000,8749.73000000,32562816.66906816,39971
2020-05-10 10:00:00,8751.50000000,8836.56000000,8665.83000000,8810.20000000,41411789.86922589,45006
2020-05-10 11:00:00,8809.54000000,8815.25000000,8645.00000000,8737.35000000,39748151.09058991,42431
