,t,v
2743,1467936000,0.580412364524259
2744,1468022400,0.579642799376065
2745,1468108800,0.579119280581301
2746,1468195200,0.579783236786175
2747,1468281600,0.57997621501559
2748,1468368000,0.580053056950517
2749,1468454400,0.580100291046261
2750,1468540800,0.580143783626717
2751,1468627200,0.580333749459482
2752,1468713600,0.58021814095957
2753,1468800000,0.5801959225115481
2754,1468886400,0.579859010306168
2755,1468972800,0.579989260951562
2756,1469059200,0.5799979551588941
2757,1469145600,0.5798833971981321
2758,1469232000,0.579904603814378
2759,1469318400,0.580258765153005
2760,1469404800,0.5802101234844951
2761,1469491200,0.5803256874131151
2762,1469577600,0.580294044943774
2763,1469664000,0.58040822818792
2764,1469750400,0.580493430258701
2765,1469836800,0.5803510064189861
2766,1469923200,0.5803146795645381
2767,1470009600,0.5802728079756461
2768,1470096000,0.5799325574699631
2769,1470182400,0.579782311319182
2770,1470268800,0.579803564524599
2771,1470355200,0.5797365914629481
2772,1470441600,0.579602659448866
2773,1470528000,0.5796231821994711
2774,1470614400,0.5857547803730091
2775,1470700800,0.5880631818481461
2776,1470787200,0.588185275036272
2777,1470873600,0.5882670240082031
2778,1470960000,0.5884093448973321
2779,1471046400,0.58872848559943
2780,1471132800,0.588790384257469
2781,1471219200,0.588772899166615
2782,1471305600,0.588898969498716
2783,1471392000,0.588860139168587
2784,1471478400,0.589163226733419
2785,1471564800,0.589061743799369
2786,1471651200,0.586992988963659
2787,1471737600,0.586996376211338
2788,1471824000,0.587317064691643
2789,1471910400,0.588306763654046
2790,1471996800,0.588918782707894
2791,1472083200,0.587476054267107
2792,1472169600,0.587773377382739
2793,1472256000,0.5880353066409051
2794,1472342400,0.5880232242130811
2795,1472428800,0.588276919096635
2796,1472515200,0.5885982085247681
2797,1472601600,0.5886756834191811
2798,1472688000,0.5888126307169881
2799,1472774400,0.589107043621783
2800,1472860800,0.5892275544087531
2801,1472947200,0.589093637856526
2802,1473033600,0.5892555311184681
2803,1473120000,0.589174982720989
2804,1473206400,0.589520278181611
2805,1473292800,0.589611498474476
2806,1473379200,0.590140333639764
2807,1473465600,0.5901122172955221
2808,1473552000,0.589924106692682
2809,1473638400,0.589981414172789
2810,1473724800,0.5896843690689251
2811,1473811200,0.589601864512151
2812,1473897600,0.589609034289576
2813,1473984000,0.5894699269292111
2814,1474070400,0.589391312459547
2815,1474156800,0.589297923637761
2816,1474243200,0.5893400125247721
2817,1474329600,0.5891938101823581
2818,1474416000,0.58900520453674
2819,1474502400,0.58907271626874
2820,1474588800,0.589210254691231
2821,1474675200,0.588643275687017
2822,1474761600,0.5881875403914311
2823,1474848000,0.588109118578035
2824,1474934400,0.5880673883167521
2825,1475020800,0.588021147313124
2826,1475107200,0.588102308748185
2827,1475193600,0.588467766047557
2828,1475280000,0.588540206940505
2829,1475366400,0.588657190467188
2830,1475452800,0.588422293993073
2831,1475539200,0.5881101285571371
2832,1475625600,0.5882764256357851
2833,1475712000,0.590112405897802
2834,1475798400,0.590152848870075
2835,1475884800,0.5901425231366271
2836,1475971200,0.5901648502258331
2837,1476057600,0.5901298389838551
2838,1476144000,0.590144462487416
2839,1476230400,0.59037012893016
2840,1476316800,0.591218542621317
2841,1476403200,0.591229241950617
2842,1476489600,0.591272997199325
2843,1476576000,0.5912160229623711
2844,1476662400,0.5898158420350631
2845,1476748800,0.589682506884682
2846,1476835200,0.5896129166623311
2847,1476921600,0.5898142267016611
2848,1477008000,0.5887806225727631
2849,1477094400,0.5887290316314221
2850,1477180800,0.58856954040652
2851,1477267200,0.5880351024825441
2852,1477353600,0.5887004521567091
2853,1477440000,0.588671370761482
2854,1477526400,0.5884209381765
2855,1477612800,0.588521247066313
2856,1477699200,0.589679755974693
2857,1477785600,0.590310338160773
2858,1477872000,0.591089229089214
2859,1477958400,0.5909818281499031
2860,1478044800,0.592425529061637
2861,1478131200,0.593580597473444
2862,1478217600,0.5945543038709891
2863,1478304000,0.5947814370347171
2864,1478390400,0.594920735243876
2865,1478476800,0.594911195349158
2866,1478563200,0.594383700643611
2867,1478649600,0.5948516070891391
2868,1478736000,0.5947650523971361
2869,1478822400,0.594605594068499
2870,1478908800,0.594750507280411
2871,1478995200,0.5947728581410361
2872,1479081600,0.5946711689892971
2873,1479168000,0.594602498508356
2874,1479254400,0.594350947933164
2875,1479340800,0.593998730696728
2876,1479427200,0.5936252700432321
2877,1479513600,0.593471458093754
2878,1479600000,0.593406969108882
2879,1479686400,0.59342129943947
2880,1479772800,0.592659229254697
2881,1479859200,0.592522622255513
2882,1479945600,0.589294115814159
2883,1480032000,0.5892742057922561
2884,1480118400,0.5895335604057851
2885,1480204800,0.58956401297145
2886,1480291200,0.5894709614933571
2887,1480377600,0.5892560218475891
2888,1480464000,0.595323879668986
2889,1480550400,0.595358197109883
2890,1480636800,0.595168578616852
2891,1480723200,0.58958888490567
2892,1480809600,0.589588161557355
2893,1480896000,0.5892594985070241
2894,1480982400,0.5892352115810581
2895,1481068800,0.5890700390068561
