Date,Open,High,Low,Close,Volume,N. Trades
2021-04-11 00:00:00,59769.13000000,60429.56000000,59544.94000000,60148.50000000,196487750.92872612,108019
2021-04-11 01:00:00,60148.50000000,60600.00000000,60036.58000000,60594.67000000,115347140.11780911,66005
2021-04-11 02:00:00,60594.67000000,60594.68000000,60262.53000000,60509.70000000,73086241.23858614,73024
2021-04-11 03:00:00,60509.70000000,60699.00000000,60202.69000000,60268.58000000,87039438.32774864,49556
2021-04-11 04:00:00,60268.58000000,60328.00000000,59777.77000000,59906.60000000,101982393.22662180,52781
2021-04-11 05:00:00,59906.59000000,60012.05000000,59535.52000000,59679.97000000,153786143.65123278,97386
2021-04-11 06:00:00,59679.96000000,59909.68000000,59339.83000000,59735.00000000,121993099.07957892,85807
2021-04-11 07:00:00,59735.01000000,59790.15000000,59400.00000000,59655.49000000,71102991.40713176,49429
2021-04-11 08:00:00,59655.50000000,60144.70000000,59655.49000000,59961.81000000,85922949.70346135,59577
2021-04-11 09:00:00,59961.81000000,60045.00000000,59455.09000000,59676.20000000,104063652.04916413,92157
2021-04-11 10:00:00,59676.20000000,59950.81000000,59500.00000000,59599.99000000,95979106.59921100,86408
2021-04-11 11:00:00,59600.00000000,59860.87000000,59450.00000000,59721.84000000,99650398.15923032,66292
2021-04-11 12:00:00,59721.85000000,59844.00000000,59449.93000000,59724.45000000,102716178.57851623,81160
2021-04-11 13:00:00,59724.44000000,59746.00000000,59232.52000000,59340.55000000,108057044.40049480,74619
2021-04-11 14:00:00,59340.54000000,59664.98000000,59250.00000000,59570.77000000,96744798.01108679,60875
2021-04-11 15:00:00,59573.36000000,59780.06000000,59558.00000000,59645.46000000,90482896.87478612,70629
2021-04-11 16:00:00,59645.45000000,59785.37000000,59480.00000000,59569.40000000,107448787.44510120,92962
2021-04-11 17:00:00,59569.41000000,59975.95000000,59405.18000000,59864.39000000,127273623.53925072,91480
2021-04-11 18:00:00,59864.39000000,59948.89000000,59758.63000000,59865.00000000,70860690.17635236,56613
2021-04-11 19:00:00,59865.01000000,60190.00000000,59557.13000000,59705.53000000,115645136.88304095,71642
2021-04-11 20:00:00,59705.53000000,59820.00000000,59479.00000000,59707.80000000,69130625.45818009,54707
2021-04-11 21:00:00,59707.79000000,59707.81000000,59488.57000000,59610.72000000,57637057.40907979,51851
2021-04-11 22:00:00,59610.72000000,60130.57000000,59433.29000000,60101.68000000,119731194.92360530,80813
2021-04-11 23:00:00,60101.68000000,60107.96000000,59760.00000000,60002.43000000,89863588.42998485,72310
2021-04-12 00:00:00,59998.80000000,60355.00000000,59605.00000000,59830.28000000,109336575.48508115,77192
