Date,Open,High,Low,Close,Volume,N. Trades
2017-12-21 05:00:00,16900.00000000,16915.79000000,16600.00000000,16792.91000000,5174907.77593822,3636
2017-12-21 06:00:00,16792.91000000,17187.00000000,16750.00000000,17151.07000000,5596696.39700142,2750
2017-12-21 07:00:00,17151.06000000,17309.50000000,16888.00000000,17038.99000000,14139978.90052355,5569
2017-12-21 08:00:00,17046.02000000,17049.99000000,16666.00000000,16771.22000000,12040869.05187450,4717
2017-12-21 09:00:00,16771.11000000,16889.82000000,16632.00000000,16633.00000000,14679709.56871128,3532
2017-12-21 10:00:00,16633.01000000,16648.94000000,16249.98000000,16449.78000000,15092388.42897012,5114
2017-12-21 11:00:00,16449.78000000,16608.16000000,16305.59000000,16490.99000000,10148446.91521135,3421
2017-12-21 12:00:00,16491.00000000,16658.03000000,16448.61000000,16497.98000000,17591362.49850753,3780
2017-12-21 13:00:00,16497.49000000,16549.76000000,16000.01000000,16010.00000000,12959588.34958065,4472
2017-12-21 14:00:00,16013.02000000,16196.56000000,15288.00000000,15474.97000000,18045341.58259901,7159
2017-12-21 15:00:00,15474.87000000,15579.99000000,14022.00000000,14400.00000000,35413751.13392354,14853
2017-12-21 16:00:00,14400.00000000,15419.07000000,14350.00000000,15250.00000000,22609720.65413530,10274
2017-12-21 17:00:00,15250.00000000,15250.00000000,14302.95000000,14722.01000000,17617324.93820475,6093
2017-12-21 18:00:00,14736.01000000,14850.00000000,14457.49000000,14660.90000000,14443595.41423809,3984
2017-12-21 19:00:00,14640.98000000,14790.00000000,14360.00000000,14700.94000000,11515340.21070327,3337
2017-12-21 20:00:00,14700.94000000,15180.00000000,14691.03000000,14816.98000000,10460409.56174868,3194
2017-12-21 21:00:00,14816.43000000,15397.98000000,14801.00000000,15395.00000000,13162119.26351342,3391
2017-12-21 22:00:00,15365.03000000,15520.00000000,15230.96000000,15344.80000000,12769809.73110462,3836
2017-12-21 23:00:00,15349.95000000,15527.63000000,15190.19000000,15492.64000000,11292564.67097754,3372
2017-12-22 00:00:00,15514.03000000,15699.34000000,14750.00000000,14848.98000000,12426358.40439425,4098
2017-12-22 01:00:00,14848.99000000,14999.98000000,13823.00000000,14330.00000000,20304277.39967621,7357
2017-12-22 02:00:00,14350.00000000,14738.99000000,13801.00000000,14098.98000000,19667065.42200359,9792
2017-12-22 03:00:00,14076.02000000,14199.98000000,13000.00000000,13780.00000000,40192924.17433550,16269
2017-12-22 04:00:00,13789.00000000,14649.00000000,13621.53000000,14379.99000000,26538932.80768405,10955
2017-12-22 05:00:00,14380.00000000,14465.94000000,13610.00000000,13842.86000000,19686093.35727778,7071
2017-12-22 06:00:00,13875.66000000,14210.00000000,13355.00000000,13355.00000000,22180263.95153649,7210
2017-12-22 07:00:00,13388.22000000,13388.22000000,12200.00000000,12726.45000000,41187026.75403798,18340
2017-12-22 08:00:00,12726.45000000,13500.00000000,12400.00000000,13167.68000000,21677668.58717991,10583
