Date,Open,High,Low,Close,Volume,N. Trades
2019-06-24 00:00:00,10905.95000000,10905.96000000,10620.80000000,10728.32000000,43456057.94936528,36901
2019-06-24 01:00:00,10725.15000000,10777.79000000,10621.40000000,10706.37000000,20371380.76773063,20293
2019-06-24 02:00:00,10707.56000000,10776.99000000,10664.80000000,10715.91000000,11967249.53074876,15605
2019-06-24 03:00:00,10715.93000000,10759.45000000,10679.78000000,10720.64000000,12992811.39042614,12496
2019-06-24 04:00:00,10720.34000000,10854.75000000,10674.55000000,10851.55000000,15433770.36972521,17423
2019-06-24 05:00:00,10851.53000000,10876.96000000,10790.08000000,10833.00000000,18027390.76218019,16766
2019-06-24 06:00:00,10832.53000000,10833.00000000,10740.01000000,10763.53000000,14753717.74145567,15490
2019-06-24 07:00:00,10766.29000000,10848.08000000,10765.46000000,10816.17000000,10893209.56140810,12106
2019-06-24 08:00:00,10814.80000000,10936.00000000,10810.15000000,10935.00000000,16326849.62886227,15984
2019-06-24 09:00:00,10934.98000000,10975.00000000,10861.11000000,10922.98000000,19053417.18491605,18829
2019-06-24 10:00:00,10922.98000000,11023.39000000,10901.00000000,10902.47000000,19575876.24285833,17466
2019-06-24 11:00:00,10904.00000000,10940.00000000,10810.00000000,10938.17000000,21719666.91315091,18367
2019-06-24 12:00:00,10937.34000000,10976.87000000,10869.57000000,10901.66000000,14620057.86558354,14758
2019-06-24 13:00:00,10900.01000000,10930.00000000,10800.00000000,10880.70000000,18774436.33858984,16266
2019-06-24 14:00:00,10880.00000000,11000.00000000,10855.22000000,10963.48000000,25012146.38878353,19965
2019-06-24 15:00:00,10963.48000000,10988.00000000,10875.53000000,10936.87000000,16323894.94594033,15251
2019-06-24 16:00:00,10933.85000000,11143.63000000,10932.89000000,11054.85000000,45311499.75220345,38852
2019-06-24 17:00:00,11053.49000000,11111.82000000,11020.70000000,11073.85000000,15399409.61251374,15213
2019-06-24 18:00:00,11073.80000000,11125.00000000,11001.03000000,11019.94000000,19049523.84883161,19312
2019-06-24 19:00:00,11019.94000000,11059.21000000,10861.34000000,10944.73000000,31220488.06000380,26756
2019-06-24 20:00:00,10945.00000000,11005.03000000,10865.07000000,10910.72000000,16715732.62254907,16308
2019-06-24 21:00:00,10907.89000000,10997.00000000,10905.85000000,10980.94000000,11434422.56968999,11154
2019-06-24 22:00:00,10980.87000000,11100.00000000,10977.58000000,11035.00000000,20229754.76233312,16734
2019-06-24 23:00:00,11036.93000000,11071.63000000,10982.00000000,11056.59000000,11083899.12826776,12040
2019-06-25 00:00:00,11056.59000000,11130.00000000,11026.00000000,11072.07000000,17253679.09950722,17047
2019-06-25 01:00:00,11075.02000000,11151.77000000,11070.65000000,11138.38000000,13345716.22071104,12760
2019-06-25 02:00:00,11138.38000000,11262.99000000,11100.00000000,11161.26000000,29841867.70467789,25183
2019-06-25 03:00:00,11163.25000000,11215.71000000,11111.01000000,11172.19000000,22291040.85091712,18622
2019-06-25 04:00:00,11171.71000000,11272.97000000,11157.91000000,11272.15000000,21731546.40326129,18799
2019-06-25 05:00:00,11269.30000000,11381.85000000,11260.01000000,11346.73000000,37631617.55800866,31446
2019-06-25 06:00:00,11346.73000000,11435.00000000,11273.00000000,11312.48000000,41469084.39538199,33356
2019-06-25 07:00:00,11312.46000000,11423.15000000,11308.16000000,11377.60000000,28019072.63328218,21490
