,t,v
310,1257724800,0
311,1257811200,0
312,1257897600,52
313,1257984000,0
314,1258070400,13
315,1258156800,0
316,1258243200,0
317,1258329600,0
318,1258416000,0
319,1258502400,0
320,1258588800,83
321,1258675200,0
322,1258761600,0
323,1258848000,0
324,1258934400,0
325,1259020800,0
326,1259107200,0
327,1259193600,0
328,1259280000,0
329,1259366400,0
330,1259452800,0
331,1259539200,0
332,1259625600,167
333,1259712000,0
334,1259798400,0
335,1259884800,0
336,1259971200,20
337,1260057600,4
338,1260144000,0
339,1260230400,31
340,1260316800,23
341,1260403200,0
342,1260489600,0
343,1260576000,68
344,1260662400,0
345,1260748800,335
346,1260835200,9
347,1260921600,18
348,1261008000,10
349,1261094400,0
350,1261180800,2
351,1261267200,0
352,1261353600,2
353,1261440000,0
354,1261526400,0
355,1261612800,0
356,1261699200,2
357,1261785600,0
358,1261872000,6
359,1261958400,0
360,1262044800,0
361,1262131200,0
362,1262217600,0
363,1262304000,4
364,1262390400,0
365,1262476800,0
366,1262563200,85
367,1262649600,0
368,1262736000,0
369,1262822400,0
370,1262908800,0
371,1262995200,0
372,1263081600,0
373,1263168000,0
374,1263254400,216
375,1263340800,4
376,1263427200,12
377,1263513600,6
378,1263600000,7
379,1263686400,0
380,1263772800,3
381,1263859200,0
382,1263945600,0
383,1264032000,12
384,1264118400,8
385,1264204800,4
386,1264291200,2
387,1264377600,61
388,1264464000,20
389,1264550400,21
390,1264636800,22
391,1264723200,21
392,1264809600,38
393,1264896000,20
394,1264982400,19
395,1265068800,22
396,1265155200,7
397,1265241600,45
398,1265328000,249
399,1265414400,33
400,1265500800,16
401,1265587200,129
402,1265673600,421
403,1265760000,609
404,1265846400,77
405,1265932800,43
406,1266019200,88
407,1266105600,56
408,1266192000,102
409,1266278400,23
410,1266364800,30
411,1266451200,63
412,1266537600,6
413,1266624000,15
414,1266710400,130
415,1266796800,273
416,1266883200,2
417,1266969600,112
418,1267056000,146
419,1267142400,24
420,1267228800,12
421,1267315200,108
422,1267401600,36
423,1267488000,45
424,1267574400,109
425,1267660800,390
426,1267747200,4
427,1267833600,97
428,1267920000,118
429,1268006400,188
430,1268092800,83
431,1268179200,49
432,1268265600,67
433,1268352000,9
434,1268438400,37
435,1268524800,9
436,1268611200,10
437,1268697600,28
438,1268784000,28
439,1268870400,85
440,1268956800,136
441,1269043200,81
442,1269129600,13
443,1269216000,45
444,1269302400,85
445,1269388800,37
446,1269475200,355
447,1269561600,83
448,1269648000,28
449,1269734400,22
450,1269820800,74
451,1269907200,14
452,1269993600,29
453,1270080000,33
454,1270166400,23
455,1270252800,31
456,1270339200,75
457,1270425600,157
458,1270512000,109
459,1270598400,111
460,1270684800,35
461,1270771200,137
462,1270857600,309
463,1270944000,188
464,1271030400,165
465,1271116800,53
466,1271203200,133
467,1271289600,718
468,1271376000,235
469,1271462400,88
470,1271548800,3233
471,1271635200,322
472,1271721600,229
473,1271808000,165
474,1271894400,76
475,1271980800,96
476,1272067200,119
477,1272153600,192
478,1272240000,117
479,1272326400,98
480,1272412800,150
481,1272499200,73
482,1272585600,63
483,1272672000,84
484,1272758400,55
485,1272844800,123
486,1272931200,191
487,1273017600,159
488,1273104000,294
489,1273190400,103
490,1273276800,293
491,1273363200,113
492,1273449600,169
493,1273536000,49
494,1273622400,135
495,1273708800,129
496,1273795200,126
497,1273881600,69
498,1273968000,56
499,1274054400,149
500,1274140800,148
501,1274227200,149
502,1274313600,87
503,1274400000,168
504,1274486400,155
505,1274572800,260
506,1274659200,156
507,1274745600,149
508,1274832000,199
509,1274918400,209
510,1275004800,146
511,1275091200,181
512,1275177600,124
513,1275264000,141
514,1275350400,141
515,1275436800,112
516,1275523200,253
517,1275609600,111
518,1275696000,116
519,1275782400,123
520,1275868800,326
521,1275955200,188
522,1276041600,196
523,1276128000,136
524,1276214400,191
525,1276300800,158
526,1276387200,183
527,1276473600,269
528,1276560000,189
529,1276646400,156
530,1276732800,136
531,1276819200,131
532,1276905600,235
533,1276992000,129
534,1277078400,195
535,1277164800,208
536,1277251200,170
537,1277337600,203
538,1277424000,102
539,1277510400,91
540,1277596800,141
541,1277683200,141
542,1277769600,246
543,1277856000,275
544,1277942400,214
545,1278028800,219
546,1278115200,167
547,1278201600,279
548,1278288000,214
549,1278374400,105
550,1278460800,230
551,1278547200,164
552,1278633600,165
553,1278720000,213
554,1278806400,418
555,1278892800,2943
556,1278979200,1411
557,1279065600,6286
558,1279152000,1496
559,1279238400,1305
560,1279324800,635
561,1279411200,757
562,1279497600,808
563,1279584000,728
564,1279670400,621
565,1279756800,427
566,1279843200,471
567,1279929600,788
568,1280016000,1912
569,1280102400,1010
570,1280188800,611
571,1280275200,518
572,1280361600,355
573,1280448000,408
574,1280534400,285
575,1280620800,398
576,1280707200,416
577,1280793600,774
578,1280880000,511
579,1280966400,619
580,1281052800,493
581,1281139200,362
582,1281225600,398
583,1281312000,595
584,1281398400,406
585,1281484800,497
586,1281571200,378
587,1281657600,655
588,1281744000,332
589,1281830400,247
590,1281916800,630
591,1282003200,365
592,1282089600,595
593,1282176000,336
594,1282262400,480
595,1282348800,365
596,1282435200,387
597,1282521600,453
598,1282608000,448
599,1282694400,311
600,1282780800,455
601,1282867200,332
602,1282953600,368
603,1283040000,231
604,1283126400,376
605,1283212800,556
606,1283299200,450
607,1283385600,397
608,1283472000,344
609,1283558400,280
