Time Init,Open,High,Low,Close,Volume,Time Close,QAV,N Trades
1503590400000,323.67000000,325.35000000,318.97000000,321.23000000,909.12592000,1503604799999,292864.22476420,866
1503604800000,321.23000000,326.33000000,318.97000000,323.42000000,900.34445000,1503619199999,290115.07535540,840
1503619200000,323.42000000,330.44000000,323.42000000,326.55000000,1406.84850000,1503633599999,459116.53904420,1553
1503633600000,326.55000000,335.00000000,326.55000000,330.29000000,1115.60692000,1503647999999,369187.34358580,1015
1503648000000,330.29000000,335.41000000,327.40000000,331.26000000,1199.42604000,1503662399999,396584.54351740,946
1503662400000,329.68000000,335.33000000,328.72000000,333.15000000,1961.17800000,1503676799999,651830.88005250,2534
1503676800000,335.29000000,338.28000000,325.42000000,328.71000000,751.25954000,1503691199999,250215.01805160,703
1503691200000,329.91000000,332.27000000,324.90000000,327.24000000,691.65062000,1503705599999,227227.71404250,701
1503705600000,327.24000000,332.27000000,323.41000000,323.46000000,569.57801000,1503719999999,186192.65978120,669
1503720000000,323.46000000,329.69000000,323.41000000,327.90000000,1070.69850000,1503734399999,348905.00363070,752
1503734400000,328.45000000,331.25000000,326.69000000,327.89000000,856.54100000,1503748799999,281625.53369690,704
1503748800000,328.25000000,335.44000000,324.06000000,327.00000000,940.58482000,1503763199999,309311.33542430,759
1503763200000,327.01000000,334.17000000,326.70000000,331.19000000,803.00095000,1503777599999,264634.26109970,946
1503777600000,332.68000000,334.17000000,329.33000000,330.79000000,637.28193000,1503791999999,211325.58368380,570
1503792000000,332.18000000,338.28000000,330.79000000,331.62000000,1056.62234000,1503806399999,352807.93152930,1063
1503806400000,334.50000000,338.29000000,331.49000000,332.77000000,689.16680000,1503820799999,230458.17597410,825
1503820800000,332.77000000,338.42000000,330.73000000,333.94000000,857.24989000,1503835199999,286668.41489840,1075
1503835200000,333.93000000,336.99000000,331.88000000,334.67000000,665.54231000,1503849599999,222379.46174500,722
1503849600000,335.04000000,341.47000000,332.97000000,339.64000000,795.13177000,1503863999999,267858.08803710,710
1503864000000,341.47000000,348.13000000,337.12000000,348.13000000,571.72404000,1503878399999,194305.28597640,578
1503878400000,348.11000000,351.00000000,343.44000000,343.44000000,740.63428000,1503892799999,256788.41966890,798
1503892800000,343.43000000,343.69000000,331.95000000,338.77000000,1139.94898000,1503907199999,385140.95727990,1142
