time,open,high,low,close,Volume,Volume MA,RSI
1316304000,4.87,4.92,4.81,4.92,119.8128,32.10288869,21.40199541
1316390400,4.9,4.9,4.9,4.9,20,33.07839328,21.33975477
1316476800,4.92,5.66,4.92,5.66,89.28071068,37.4460999,29.70558112
1316563200,5.7,5.79,5.66,5.66,17.62932238,38.32329252,29.70558112
1316649600,5.68,5.72,5.68,5.72,43.77842238,40.50794013,30.38349232
1316736000,5.7,5.72,5.7,5.72,20.68003681,41.54051035,30.38349232
1316822400,5.7,5.76,5.68,5.68,90.58706633,45.95203758,30.15861715
1316908800,6.05,6.05,6.05,6.05,12.22,46.50803758,34.95428311
1316995200,6.06,6.06,4.8,4.8,39.57846334,48.43696074,27.96742982
1317081600,4.85,4.92,4.85,4.92,24.3545,41.43068574,29.42585044
1317168000,4.9,4.91,4.82,4.82,83.0533258,41.59535203,28.90072143
1317254400,4.81,4.82,4.81,4.82,46.9645,43.93356579,28.90072143
1317600000,4.85,4.87,4.83,4.87,30.57595,44.41236329,29.62895443
1317686400,4.86,5.3,4.8,4.98,142.5216224,51.38844441,31.29617644
1317772800,4.92,6.25,4.8,4.92,113.72,56.73144441,30.86660876
1317859200,4.88,4.99,4.8,4.8,170.8435494,62.35505275,29.98028826
1317945600,4.8,4.81,4.59,4.61,94.64,64.02975357,28.58091046
1318032000,4.57,4.57,3.99,3.99,56,62.82271381,24.55342464
1318118400,3.89,3.89,3.89,3.89,11,61.37701347,23.96679907
1318204800,3.99,4.51,3.99,4.51,132.5,67.98701347,34.42721425
1318291200,3.98,4.1,3.98,4.1,78.08,65.90037347,31.35514299
1318377600,3.95,3.99,3.93,3.93,79.523525,68.87654972,30.15365586
1318464000,3.93,3.97,3.93,3.97,109.621766,69.89360249,30.82532167
1318550400,4.05,4.05,4.05,4.05,96.97751266,73.861012,32.2290017
1318809600,3.92,3.92,3.92,3.92,10.24,72.18409088,31.12377519
1319068800,2.22,2.29,2.22,2.24,61.972332,74.24870564,21.06858295
1319155200,2.22,2.27,2.22,2.27,41.46334066,71.79251936,21.55594844
1319414400,2.99,2.99,2.92,2.92,64.54,74.40851936,31.43438158
1319500800,2.66,2.72,2.66,2.72,130.2993237,78.94456238,30.17522459
1319587200,2.72,3,2.67,2.69,268.2689727,91.14028601,29.98122523
1319760000,3.07,4.36,3.07,4.2,118.3778727,92.90651335,48.07615772
1319846400,3.69,4.4,3.69,3.95,88.432425,94.9799096,45.95849868
1319932800,3.85,3.85,3.2,3.5,116.381395,99.27018185,42.34302383
1320019200,3.25,3.55,3.2,3.3,68.99404308,95.59380289,40.80652822
1320105600,3.32,3.33,3.32,3.33,38.7771206,91.84665892,41.15148202
1320364800,3.27,3.55,3.21,3.55,117.0810387,89.15853338,43.74069392
1320451200,3.21,3.21,3,3,103.512,89.60213338,39.10810724
1320537600,2.95,2.95,2.95,2.95,203.388,96.97153338,38.70676327
1320710400,3.08,3.08,3.08,3.08,47.47212389,98.79513958,40.41881587
1320796800,3.09,3.3,3.09,3.3,58.86052015,95.11316559,43.30493225
1320883200,3.25,3.3,2.95,3.3,121.6677731,97.29255424,43.30493225
1320969600,3.3,3.3,3.3,3.3,65.434,96.58807799,43.30493225
1321056000,3.35,3.35,3.35,3.35,2.79,91.24648969,44.07392182
1321142400,3.35,3.35,3.35,3.35,29.48955224,87.87209167,44.07392182
1321228800,2.95,2.95,2.47,2.47,183.4,96.53009167,34.51747887
1321315200,2.99,3,2.5,2.5,97.3416118,98.29855566,35.03463269
1321401600,2.51,3,2.51,3,5.61666667,96.50622196,43.10025856
1321488000,3,3,2.5,2.99,17.01862876,94.1301534,42.98531333
1321574400,2.5,2.79,2.5,2.5,88.44,92.03718722,37.68223018
1321660800,2.5,2.5,2.43,2.43,48.87212355,81.06734476,36.98034521
1321747200,2.37,2.37,2.37,2.37,11,75.69845113,36.35526669
1321833600,2.45,3,2.25,2.25,290.5267758,85.80316867,35.07819428
1321920000,2.53,2.59,2.46,2.59,328.493346,96.40876622,41.36313629
1322092800,2.54,3,2.54,3,9.1446088,93.4162945,47.91162544
1322179200,2.5,15,2.5,2.75,179.787266,100.4668018,44.63809161
1322265600,2.77,2.77,2.77,2.77,10.09025271,95.11726247,44.96206751
1322438400,2.67,2.78,2.66,2.66,180.367149,98.96001992,43.45581786
1322524800,2.69,3.23,2.69,2.72,62.46464882,91.91385236,44.54705355
1322611200,3.19,3.19,3.19,3.19,14.53918495,90.26720542,52.31096325
1322697600,3.46,3.48,3.3,3.42,233.7800335,99.01318108,55.58792642
1322784000,3.45,3.45,3.04,3.04,131.7570402,99.51764444,49.5320158
1322870400,2.93,2.93,2.93,2.93,0.5,96.27094444,47.90506583
1323043200,2.82,2.99,2.82,2.93,207.3632656,106.4996077,47.90506583
1323129600,2.9,3.25,2.89,2.98,216.109289,115.8305946,48.79176176
1323216000,3.05,3.35,3.05,3.3,233.2092002,118.3210546,54.16837873
1323302400,3.27,3.5,2.95,3.3,115.7177271,119.2398603,54.16837873
1323475200,3.2,3.2,3,3.2,12.284375,119.5732457,52.18267263
1323561600,3.17,3.37,3.17,3.27,157.7788948,126.611259,53.4685468
1323648000,3.37,3.6,3.37,3.48,75.61897495,125.9702078,57.18804357
1323734400,3.25,3.59,3.25,3.56,66.15055522,126.8341294,58.54743448
1323820800,3.42,3.49,3.42,3.47,90.7647307,130.8223659,56.37857899
1323907200,3.39,3.45,3.39,3.45,102.742029,121.4331286,55.88315635
1323993600,3.25,3.5,3.25,3.44,84.613001,109.2391113,55.61997977
1324166400,3.25,3.5,3.25,3.5,17.24285714,109.6440237,56.930583
1324252800,3.5,3.98,3.5,3.85,134.734292,107.391375,63.67037024
1324339200,4.75,4.75,4.53,4.55,94.74335338,111.6240301,72.82847941
1324425600,4.38,4.38,4.38,4.38,20.89954338,103.6506498,68.32391158
1324512000,4.19,4.19,4.17,4.17,8.53526439,100.9541806,63.12946754
1324598400,3.86,4.35,3.84,4.22,149.4925619,107.7018494,63.83447947
1324684800,4.33,4.33,4.33,4.33,27.22479474,97.37408748,65.40186939
1324771200,4.32,4.32,4.27,4.27,24.182423,91.99535662,63.77819915
1324857600,4.27,4.33,4.27,4.33,56.73660508,94.80718688,64.72139897
1324944000,4.33,4.33,4.29,4.29,58.07386739,87.34271697,63.53363325
1325030400,4.29,4.3,4.25,4.3,35.55011655,78.31475834,63.71292469
