Time Init,Open,High,Low,Close,Volume,Time Close,QAV,N Trades,RSI,target,,,,
1.50301E+12,4285.08,4371.52,3938.77,4108.37,1199.888264,1.5031E+12,5086958.306,5233,nan,0,,,,
1.5031E+12,4108.37,4184.69,3850,4139.98,381.309763,1.50319E+12,1549483.735,2153,nan,1,,,,
1.50319E+12,4120.98,4211.08,4032.62,4086.29,467.083022,1.50327E+12,1930364.39,2321,nan,0,,,,
1.50327E+12,4069.13,4119.62,3911.79,4016,691.74306,1.50336E+12,2797231.714,3972,nan,0,,,,
1.50336E+12,4016,4104.82,3400,4040,966.684858,1.50345E+12,3752505.772,6494,nan,1,,,,
1.50345E+12,4040,4265.8,4013.89,4114.01,1001.136565,1.50353E+12,4148686.466,8629,nan,1,,,,
1.50353E+12,4147,4371.68,4085.01,4316.01,787.418753,1.50362E+12,3296476.413,6247,nan,1,,,,
1.50362E+12,4316.01,4453.91,4247.48,4280.68,573.61274,1.50371E+12,2484637.349,6554,nan,0,,,,
1.50371E+12,4280.71,4367,4212.41,4337.44,228.108068,1.50379E+12,977865.7333,2260,nan,1,,,,
1.50379E+12,4332.51,4400,4285.54,4310.01,350.692585,1.50388E+12,1521580.062,3670,nan,0,,,,
1.50388E+12,4310.01,4399.82,4124.54,4386.69,603.841616,1.50396E+12,2591660.526,4349,nan,1,,,,
1.50396E+12,4353.65,4625.85,4313.55,4587.48,603.545028,1.50405E+12,2682483.736,4159,nan,1,,,,
1.50405E+12,4564.52,4647.51,4416.01,4555.14,808.468771,1.50414E+12,3683714.687,5551,nan,0,,,,
1.50414E+12,4555.14,4745.42,4555.14,4724.89,556.956802,1.50422E+12,2579878.724,4161,67.858274,1,,,,
1.50422E+12,4689.89,4885.55,4654.88,4834.91,560.666366,1.50431E+12,2665165.559,4000,70.679466,1,,,,
1.50431E+12,4796.16,4939.19,4286.87,4472.14,929.148595,1.5044E+12,4257723.945,7475,53.88472,0,,,,
1.5044E+12,4508.5,4714.76,4298.33,4509.08,691.216198,1.50448E+12,3121052.752,6022,55.055846,1,,,,
1.50448E+12,4505,4527.49,3972.51,4100.11,1394.644614,1.50457E+12,5909947.49,9317,42.260035,0,,,,
1.50457E+12,4106.97,4484.99,3603,4366.47,1228.938157,1.50466E+12,5083453.187,10084,50.353192,1,,,,
1.50466E+12,4366.49,4662.87,4335.26,4619.77,807.363726,1.50474E+12,3626346.055,7956,56.585226,1,,,,
1.50474E+12,4619.77,4788.59,4438.19,4691.61,500.429975,1.50483E+12,2305795.136,3070,58.188295,1,,,,
1.50483E+12,4691.66,4735.39,4028.93,4282.8,1132.255046,1.50492E+12,4866527.226,4733,47.450899,0,,,,
1.50492E+12,4282.8,4426.62,4150.06,4258.81,658.782952,1.505E+12,2815383.466,3777,46.903926,0,,,,
1.505E+12,4258.81,4283,3801,4130.37,660.373275,1.50509E+12,2700371.808,3435,43.980851,0,,,,
1.50509E+12,4153.62,4334.43,4098.91,4208.47,699.989065,1.50517E+12,2956842.763,4228,46.177351,1,,,,
1.50517E+12,4208.6,4394.59,4040.8,4163.72,879.630319,1.50526E+12,3725190.623,6501,45.086494,0,,,,
1.50526E+12,4159.72,4165.38,3760,3944.69,913.462545,1.50535E+12,3570365.926,5019,40.094042,0,,,,
1.50535E+12,3944,3993,3165.13,3189.02,1665.021543,1.50543E+12,5914261.405,9066,28.406972,0,,,,
1.50543E+12,3188.01,3856,2817,3700,1968.866492,1.50552E+12,6588767.187,10445,40.942848,1,,,,
1.50552E+12,3674.01,3950,3470.66,3714.95,1297.563953,1.50561E+12,4804878.247,8809,41.266881,1,,,,
1.50561E+12,3685.23,3748.21,3499.02,3699.99,682.17121,1.50569E+12,2466490.279,6355,41.024314,0,,,,
1.50569E+12,3690,4123.2,3690,4035.01,1030.006455,1.50578E+12,4069033.057,8220,48.346708,1,,,,
1.50578E+12,4060,4089.97,3830.91,3910.04,902.332129,1.50587E+12,3558315.197,7342,46.049881,0,,,,
1.50587E+12,3910.04,4046.08,3820,3900,720.935076,1.50595E+12,2839584.453,7231,45.861376,0,,,,
1.50595E+12,3889.99,3910,3567,3609.99,1001.654084,1.50604E+12,3757043.078,8714,40.681139,0,,,,
1.50604E+12,3592.84,3750,3505.55,3595.87,838.966425,1.50612E+12,3031771.433,8152,40.441621,0,,,,
1.50612E+12,3595.88,3817.19,3542.91,3780,752.792791,1.50621E+12,2799707,8402,44.990039,1,,,,
1.50621E+12,3779.54,3789.99,3622.76,3660.02,661.63639,1.5063E+12,2445788.436,8724,42.701643,0,,,,
1.5063E+12,3660.02,3979.87,3653.69,3920.75,727.994713,1.50638E+12,2784170.853,9740,48.796721,1,,,,
1.50638E+12,3928,3976.99,3850.05,3882.35,526.727987,1.50647E+12,2061195.579,7971,47.987092,0,,,,
1.50647E+12,3882.36,4249.94,3872.81,4193,628.170966,1.50656E+12,2554629.814,8373,54.556052,1,,,,
1.50656E+12,4192.11,4300,4101,4174.5,849.785325,1.50664E+12,3553178.87,11426,54.117714,0,,,,
1.50664E+12,4178.98,4263.86,3952.01,4174.69,1602.309565,1.50673E+12,6571746.359,14834,54.12179,1,,,,
1.50673E+12,4175,4380,4138.1,4378.51,720.353183,1.50682E+12,3088354.401,9324,58.392897,1,,,,
1.50682E+12,4378.49,4406.52,4240.04,4378.48,726.963685,1.5069E+12,3137143.892,9816,58.392035,0,,,,
1.5069E+12,4400,4561.63,4360,4380,655.756974,1.50699E+12,2905282.776,8185,58.42551,1,,,,
1.50699E+12,4380,4467.33,4180.8,4310,1082.323563,1.50708E+12,4627422.743,12379,56.183726,0,,,,
1.50708E+12,4314.9,4373,4142,4208.59,868.465101,1.50716E+12,3676415.101,11006,53.010365,0,,,,
