2021-05-18 00:47:04, 101, 10459.13461862061, 154, -0.07396900562103836, 524521.1618828125
2021-05-18 00:47:05, 102, 10467.6184132387, 168, -0.1262181865349412, 216830.44401562502
2021-05-18 00:47:06, 103, 10510.555702994896, 171, -0.08635181613266468, 2181404.13
2021-05-18 00:47:07, 104, 10523.113445501649, 142, -0.14447106674686075, 379904.22864062496
2021-05-18 01:29:16, 2215, 10525.823148376718, 46, 0.038589714720845214, 2329985.2938125003
2021-05-18 01:42:26, 2870, 10552.055007059862, 19, -0.03524832685664296, 3812224.2745625004
2021-05-18 01:42:27, 2871, 10564.405688474535, 20, -0.08465575877577067, 413464.50534375006
2021-05-18 01:42:55, 2894, 10574.970179577052, 30, 0.01869592670723796, 200625.5211875
2021-05-18 01:42:56, 2895, 10594.936447240845, 16, 0.0061655127517879025, 209349.62496093748
2021-05-18 01:42:58, 2897, 10626.421428787009, 32, -0.01694659638404846, 2199913.572625
2021-05-18 01:42:59, 2898, 10627.968717628091, 38, -0.07649445467069746, 819071.83459375
2021-05-18 01:43:00, 2899, 10628.424924489978, 43, -0.00864870403474197, 683594.0729374998
2021-05-18 01:43:02, 2900, 10646.7317223546, 19, -0.023583613242954018, 353151.8737421875
2021-05-18 01:43:05, 2902, 10652.174385860424, 36, 0.05456438409537077, 320393.60710937495
2021-05-18 01:43:06, 2903, 10681.674072400136, 48, -0.03056238766387105, 293070.34608593746
2021-05-18 01:43:07, 2904, 10691.657056375616, 16, -0.013210647787898776, 95156.74396875
2021-05-18 01:43:13, 2909, 10692.691908251161, 28, 0.10251620322093367, 209431.4411132812
2021-05-18 01:43:15, 2910, 10729.882166985075, 28, 0.09690209142863751, 848621.2113124998
2021-05-18 01:43:16, 2911, 10767.724175141893, 36, 0.059534520749002694, 964107.32490625
2021-05-18 01:43:17, 2912, 10769.858641852665, 14, -0.021050696916878227, 179266.35673046875
2021-05-18 01:43:34, 2926, 10814.138226281786, 23, -0.029763244599103934, 430137.5791171875
2021-05-18 01:43:35, 2927, 10821.098840751061, 24, 0.058166806556284444, 210166.5236484375
2021-05-18 02:20:50, 4787, 10837.852794727682, 5, 0.015057532557751985, 636612.6186171875
