First Training,2021-05-17 02:41,135,10000,5000,500,100,1e-05,20,64,CNN,10713.73,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 04:31,235,10000,5000,500,100,0.001,25,64,CNN,11225.47,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 04:57,165,10000,5000,500,100,1e-05,25,64,CNN,10862.83,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 07:44,95,10000,5000,500,100,1e-05,20,128,CNN,10648.28,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 09:20,118,10000,5000,500,100,1e-05,25,128,CNN,10649.50,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 10:54,40,10000,5000,500,100,0.001,5,64,CNN,10986.30,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 11:20,73,10000,5000,500,100,1e-05,20,256,CNN,10375.24,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 11:35,62,10000,5000,500,100,0.001,10,64,CNN,11040.14,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 12:34,87,10000,5000,500,100,1e-05,25,256,CNN,10695.16,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 12:39,86,10000,5000,500,100,0.001,15,64,CNN,10925.93,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 14:06,111,10000,5000,500,100,0.001,20,64,CNN,10986.94,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 15:58,26,10000,5000,500,100,0.001,5,128,CNN,10533.68,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 16:25,40,10000,5000,500,100,0.001,10,128,CNN,11056.40,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 17:06,54,10000,5000,500,100,0.001,15,128,CNN,10841.80,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 17:17,63,10000,5000,500,100,0.0001,5,32,CNN,10796.87,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 18:00,77,10000,5000,500,100,0.001,20,128,CNN,11057.18,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 18:21,108,10000,5000,500,100,0.0001,10,32,CNN,10730.62,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 19:22,21,10000,5000,500,100,0.001,5,256,CNN,10872.33,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 19:44,30,10000,5000,500,100,0.001,10,256,CNN,10877.89,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 20:10,153,10000,5000,500,100,0.0001,15,32,CNN,10724.88,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 20:59,36,10000,5000,500,100,0.001,15,256,CNN,11055.92,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 21:36,45,10000,5000,500,100,0.001,20,256,CNN,10578.70,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 22:23,56,10000,5000,500,100,0.001,25,256,CNN,11031.33,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 22:45,45,10000,5000,500,100,0.0001,5,64,CNN,10843.40,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-17 23:32,72,10000,5000,500,100,0.0001,10,64,CNN,10658.92,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-18 00:45,100,10000,5000,500,100,0.0001,15,64,CNN,10837.85,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-18 02:25,38,10000,5000,500,100,0.0001,5,128,CNN,10955.83,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-18 03:05,55,10000,5000,500,100,0.0001,10,128,CNN,10651.79,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-18 04:01,74,10000,5000,500,100,0.0001,15,128,CNN,10629.55,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-18 05:15,33,10000,5000,500,100,0.0001,5,256,CNN,10704.20,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-18 05:50,46,10000,5000,500,100,0.0001,10,256,CNN,10793.28,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-18 06:36,59,10000,5000,500,100,0.0001,15,256,CNN,10745.07,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-18 07:37,75,10000,5000,500,100,1e-05,5,32,CNN,10746.85,"[64, 64, 64]","[64, 64, 64]",['RSI']
